"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"DLGAP5",0.162827524931918,1.17683369771131,0.174932262410392,0.930803287445763,0.351955328864932
"CCNA2",0.2070349365478,1.23002554387631,0.186313200036315,1.11121990555391,0.266473705147288
"CDK1",-0.113816733615825,0.892421491756591,0.157429071770432,-0.722971509238116,0.469697388288446
"age",0.00996895373895104,1.01001880928978,0.00704648843541275,1.41474066555636,0.157144546575503
"gendermale",0.19489942274327,1.21518875999134,0.140205950455671,1.39009380208076,0.164500395122239
"stage_simpleII",0.168931700441442,1.184039266803,0.186594389723386,0.905341798817596,0.365284338904041
"stage_simpleIII",0.527203030467951,1.69418708592948,0.185169400351139,2.84713904926089,0.00441140890988407
"stage_simpleIV",0.756123574949164,2.13000339783799,0.300319303213488,2.51773218324118,0.0118113092960422
