"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of Osteoblast Differentiation (GO:0045668)","4/32",0.0333383580759702,0.164708020312521,0,0,3.58112644535621,12.1795781028678,"GDF10;CRIM1;PPARG;SMAD6"
"Epithelial To Mesenchymal Transition (GO:0001837)","5/47",0.0337908569552182,0.166393527906338,0,0,2.9859943977591,10.1152501639101,"TGFBR3;BMP2;NOTCH4;S100A4;TBX3"
"Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)","5/47",0.0337908569552182,0.166393527906338,0,0,2.9859943977591,10.1152501639101,"EDN1;IL6;NR4A3;FGF2;CX3CL1"
"Regulation Of Neuroinflammatory Response (GO:0150077)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"IL33;IL6;IL1B"
"Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"CLDN11;CLDN5;CLDN18"
"Cardiac Epithelial To Mesenchymal Transition (GO:0060317)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"TGFBR3;BMP2;TBX3"
"Cardiac Ventricle Development (GO:0003231)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"GJA5;PDE2A;TBX5"
"Cellular Response To Catecholamine Stimulus (GO:0071870)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"NR4A3;LRRK2;SNCA"
"Fluid Transport (GO:0042044)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"AQP9;PDPN;AQP4"
"Water Transport (GO:0006833)","3/19",0.0347801116313724,0.167738467099664,0,0,4.69703389830508,15.7759726598469,"AQP9;PDPN;AQP4"
"T-helper 17 Cell Differentiation (GO:0072539)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"SOCS3;IL6"
"Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"GJA5;TBX5"
"Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"FCN1;FCN3"
"Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"CX3CR1;ZFP36"
"Regulation Of Urine Volume (GO:0035809)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"NPR1;NPR3"
"Cyclooxygenase Pathway (GO:0019371)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"PTGIS;PTGDS"
"Response To Leptin (GO:0044321)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"NR4A3;LEPR"
"Embryonic Digestive Tract Morphogenesis (GO:0048557)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"FOXF1;TCF21"
"Embryonic Forelimb Morphogenesis (GO:0035115)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"TBX5;TBX3"
"Endothelial Cell Chemotaxis (GO:0035767)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"NR4A1;EGR3"
"Synapse Pruning (GO:0098883)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"CX3CR1;CX3CL1"
"Vascular Associated Smooth Muscle Cell Differentiation (GO:0035886)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"RAMP2;GATA6"
"Hyaluronan Catabolic Process (GO:0030214)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"HYAL1;FGF2"
"Negative Regulation Of Cholesterol Storage (GO:0010887)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"PPARG;CES1"
"Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"FAM107A;AGER"
"Negative Regulation Of Systemic Arterial Blood Pressure (GO:0003085)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"BMPR2;ADRB2"
"Positive Regulation Of Extracellular Matrix Assembly (GO:1901203)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"RGCC;PHLDB2"
"Positive Regulation Of Opsonization (GO:1903028)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"FCN1;FCN3"
"Regulation Of RNA Biosynthetic Process (GO:2001141)","2/8",0.0355230678066534,0.167738467099664,0,0,8.34375,27.8478746866862,"FCN3;IL1B"
"Epithelium Development (GO:0060429)","11/154",0.0360596460871456,0.170003599612741,0,0,1.93442789094963,6.42729311610302,"KANK2;NDRG4;BMP2;SOX17;KRT4;GATA6;TCF21;PPARG;TBX5;CES1;TBX2"
"Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)","7/81",0.0363575687805643,0.171138225330876,0,0,2.37490701710885,7.87127990506963,"TCEAL7;PTGIS;LRRK2;TNFAIP3;ARRB1;KLF4;MTURN"
"Cellular Defense Response (GO:0006968)","5/48",0.0365698296895645,0.17186669959451,0,0,2.91640066879465,9.64900407409769,"CX3CR1;C5AR1;CXCR2;PRF1;MNDA"
"Regulation Of Potassium Ion Transmembrane Transport (GO:1901379)","4/33",0.0368198107646154,0.17222913047799,0,0,3.45745925992617,11.415559769222,"DPP6;CAV1;FHL1;KCNAB1"
