"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Lipid and atherosclerosis","14/215",0.0390766681012132,0.236196749411778,0,0,1.75317855168601,5.68420759397043,"FOS;CXCL3;AGER;SELE;CXCL2;SELP;IL6;IL1B;OLR1;CCL2;PPARG;CD36;TLR4;LDLR"
"NF-kappa B signaling pathway","8/104",0.0474287168324094,0.28044806474816,0,0,2.09251968503937,6.37910358103378,"CXCL12;GADD45B;BCL2A1;IL1B;TNFAIP3;CXCL3;CXCL2;TLR4"
"Tyrosine metabolism","4/36",0.0484718613948828,0.280518006370386,0,0,3.13283289817232,9.48237035435994,"AOC3;MAOB;ADH1B;AOX1"
"Epithelial cell signaling in Helicobacter pylori infection","6/70",0.0523998961719484,0.296932744974374,0,0,2.35184882198953,6.93525097236579,"CXCR2;CXCL3;CXCL2;JAM2;HBEGF;JAM3"
"Adherens junction","6/71",0.0554609858917776,0.307865064542113,0,0,2.31554571083367,6.69673293219328,"PTPRB;PTPRM;LMO7;SORBS1;WASF3;TGFBR2"
"Salmonella infection","15/249",0.0587600017275745,0.319654409398005,0,0,1.6128374936322,4.57125546711239,"AHNAK;ARHGEF26;FOS;NLRC4;TUBB6;IL6;RRAS;PODXL;IL1B;RHOJ;TUBB1;DYNLRB2;MYL9;TLR4;WASF3"
"Neutrophil extracellular trap formation","12/189",0.0621156448215952,0.323943418647769,0,0,1.70412772237378,4.73535750593085,"SELP;FCGR3B;VWF;AQP9;C5AR1;FPR1;TLR8;PADI4;FPR2;ITGAL;AGER;TLR4"
"Tight junction","11/169",0.0625655739977823,0.323943418647769,0,0,1.7494037791231,4.84854270443534,"CLDN11;CLDN5;PRKCE;CLDN18;MYH11;AMOTL1;MYL9;MYH10;CGNL1;JAM2;JAM3"
"Rap1 signaling pathway","13/210",0.0631213278982785,0.323943418647769,0,0,1.65916086073131,4.58375801070348,"DOCK4;ANGPT1;FPR1;ARAP3;VEGFD;ITGAL;FGF2;RRAS;P2RY1;PLCE1;TEK;FGFR4;RAPGEF4"
"Ras signaling pathway","14/232",0.0654562031389473,0.32862156310115,0,0,1.61501868841318,4.40314498479092,"NTRK2;SHC3;ANGPT1;BDNF;PLA2G1B;VEGFD;GNG11;ETS1;FGF2;RRAS;PLCE1;TEK;FGFR4;PLA1A"
"FoxO signaling pathway","9/131",0.0664492131270707,0.32862156310115,0,0,1.85230822257168,5.02219539449605,"GABARAPL1;IL6;CDKN2B;GADD45B;CAT;S1PR1;IL7R;KLF2;TGFBR2"
"Graft-versus-host disease","4/42",0.0771352161796793,0.368083838611803,0,0,2.63735055654803,6.75740731360195,"IL6;IL1B;PRF1;KLRD1"
"Tryptophan metabolism","4/42",0.0771352161796793,0.368083838611803,0,0,2.63735055654803,6.75740731360195,"MAOB;CAT;AOX1;INMT"
"Pathogenic Escherichia coli infection","12/197",0.0791916725741035,0.371381636899244,0,0,1.62975112315482,4.13286000898655,"CLDN11;CLDN5;TUBB6;IL6;IL1B;TUBB1;CLDN18;MYH11;FOS;TLR4;MYH10;WASF3"
"Apelin signaling pathway","9/137",0.0827094379028181,0.381304527280789,0,0,1.76492690538765,4.39894187310962,"EGR1;GABARAPL1;RRAS;PRKCE;AGTR1;CCN2;NOS1;GNG11;KLF2"
"Arachidonic acid metabolism","5/61",0.0852608127348462,0.386515684397969,0,0,2.23786181139122,5.50970604438789,"PTGIS;GPX3;PLA2G1B;ALOX5;PTGDS"
"Hematopoietic cell lineage","7/99",0.0873983649494814,0.389328102866956,0,0,1.90845632229757,4.65143995216964,"CSF3;IL6;CSF3R;MME;IL1B;CD36;IL7R"
"Focal adhesion","12/201",0.0887439058005562,0.389328102866956,0,0,1.5949239854253,3.86290672209292,"TNXB;SHC3;VWF;CAV2;CAV1;COL4A3;ITGA8;PIP5K1B;VEGFD;COL6A6;COL6A5;MYL9"
"NOD-like receptor signaling pathway","11/181",0.0911653628837564,0.393602836577488,0,0,1.62489343563512,3.89175017114158,"GABARAPL1;IL6;IL1B;TNFAIP3;CCL2;CARD16;NLRC4;CXCL3;CXCL2;TLR4;GBP4"
"Basal cell carcinoma","5/63",0.0947973915226403,0.402888913971221,0,0,2.16046878521524,5.09009337731886,"BMP2;WNT2B;GADD45B;FZD4;HHIP"
"Chagas disease","7/102",0.0985655622931416,0.412458968365146,0,0,1.84789956542733,4.28164491164844,"IL6;ACE;IL1B;CCL2;FOS;TLR4;TGFBR2"
"Cortisol synthesis and secretion","5/65",0.104852492589856,0.425669820663295,0,0,2.08823529411765,4.70938979939168,"NR4A1;AGTR1;PDE8B;LDLR;KCNK3"
"Inflammatory bowel disease","5/65",0.104852492589856,0.425669820663295,0,0,2.08823529411765,4.70938979939168,"IL6;IL1B;RORA;TLR4;IL18R1"
