"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1556579_s_at",-2.85504283333333,6.82194975,-15.1913177554429,9.72190375685461e-30,1.39880286291059e-26,57.0348695235025
"209875_s_at",4.503354,10.1996773333333,15.1671986236125,1.10273521153268e-29,1.54594994078331e-26,56.9109285021717
"222416_at",1.08628883333333,8.83259475,15.1198493182399,1.41245884824553e-29,1.93065468819561e-26,56.6674194284235
"226950_at",-1.99019166666667,9.3436355,-15.1058736530931,1.51959390003088e-29,2.02643406058997e-26,56.5954957815084
"219719_at",-1.897787,8.789857,-14.9938004172675,2.73330204182826e-29,3.55817355088e-26,56.0179202034882
"227780_s_at",-1.80960616666667,8.87196825,-14.8460505673431,5.93907210138221e-29,7.55159923588541e-26,55.2543093172489
"202523_s_at",-1.29999133333333,8.0056495,-14.7573302841483,9.47519547146842e-29,1.17740071000576e-25,54.7946060192822
"225314_at",1.78812083333333,10.2981569166667,14.7528810038765,9.69999691489592e-29,1.17854962515985e-25,54.7715291500864
"204271_s_at",-2.76943683333333,9.42483008333333,-14.7484620694911,9.92856454904921e-29,1.1800962319984e-25,54.7486075117016
"207547_s_at",-2.6494565,9.13649075,-14.7437417873258,1.01786951251265e-28,1.18408543822615e-25,54.7241203601697
"209793_at",-1.99308466666667,6.33338616666667,-14.7328354112064,1.07810943984583e-28,1.22803403382439e-25,54.6675325516489
"226244_at",-1.56608983333333,8.77948041666667,-14.6171285790002,1.98571030978695e-28,2.21568798342044e-25,54.0663837208255
"227929_at",-2.2304325,7.83125725,-14.569846074383,2.54967317813122e-28,2.78806762028649e-25,53.8203105009454
"222738_at",-1.91168483333333,7.14334408333333,-14.5062405136917,3.57020131163117e-28,3.75381896929895e-25,53.4889067622126
"210608_s_at",1.865823,7.33669333333333,14.5018335896298,3.6545128644221e-28,3.75381896929895e-25,53.4659293159571
"235670_at",-2.68905866666667,7.89901416666667,-14.5015467191905,3.66006993188029e-28,3.75381896929895e-25,53.4644335181591
"227779_at",-1.7158715,8.62333958333333,-14.4991171409345,3.70747552523353e-28,3.75381896929895e-25,53.4517648758618
"206283_s_at",-2.21433666666667,7.125702,-14.4833744841483,4.02993920186141e-28,4.0061259247595e-25,53.3696620670084
"43511_s_at",-1.38764733333333,8.75818716666667,-14.4481726417486,4.85657106634722e-28,4.74166112593811e-25,53.185978086526
"212115_at",1.095486,9.92798266666667,14.4189593802711,5.67045181841715e-28,5.43915707319224e-25,53.0334427945279
"209074_s_at",-3.4444825,9.46268525,-14.3969965577946,6.37133237034159e-28,6.00607926462804e-25,52.9187058326506
