"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000259842.2",5.59213232457602,2.57459328748416,0.369395966697188,6.96973849093127,3.1753066265903e-12,1.45744464861254e-11
"ENSG00000089692.9",386.142919610639,1.25844154012845,0.180564278225975,6.96949337096192,3.18084360673809e-12,1.45979960135521e-11
"ENSG00000280208.1",13.638194795725,2.24359994010909,0.321919856257527,6.9694363255253,3.18213355542413e-12,1.46020509126934e-11
"ENSG00000272070.1",50.3226122729604,1.25687466276367,0.180368313317062,6.96837842328911,3.20614870610666e-12,1.47066159849882e-11
"ENSG00000152763.17",297.514911016176,-1.26373753185927,0.181363358719527,-6.96798703322209,3.21507850788381e-12,1.47456945096075e-11
"ENSG00000214988.4",3.30457393306661,2.24531627518349,0.322293090753724,6.96669069117347,3.24482984783951e-12,1.48802471516112e-11
"ENSG00000170367.5",25.9521476812676,-1.94725450201387,0.279624378760304,-6.96382236286724,3.31162137250855e-12,1.51807292567278e-11
"ENSG00000269191.1",7.69397977167025,1.16746972113254,0.167655771666072,6.96349257488046,3.31938664859581e-12,1.52143847791871e-11
"ENSG00000230570.1",3.02254325741122,3.52750530782056,0.506595304753277,6.96316226132125,3.32718219593785e-12,1.52462257747796e-11
"ENSG00000178734.5",8.96404582455829,-1.47843670174761,0.212326101223416,-6.96304737490544,3.32989777199888e-12,1.52567236607906e-11
"ENSG00000108813.11",157.3022815313,1.18694546124508,0.170473959540906,6.96262035821528,3.34001025112151e-12,1.52972043751174e-11
"ENSG00000225721.5",3.26687401897523,1.88873675283715,0.271285241957644,6.96218024691532,3.35046434363961e-12,1.53431282012454e-11
"ENSG00000250979.1",5.77511913176964,3.09744965220211,0.444957476689329,6.96122621704986,3.3732359702879e-12,1.54454400933407e-11
"ENSG00000238062.6",4.21011587212463,2.40905871984885,0.346072964914849,6.96112948447618,3.37555332463288e-12,1.54540814161646e-11
"ENSG00000236279.7",22.9044772438934,2.76116504829396,0.396678329952901,6.96071562220653,3.38548557089974e-12,1.54975788715031e-11
"ENSG00000260062.3",10.7079374743695,2.7790515633132,0.399298384399532,6.95983673335507,3.40667308851827e-12,1.55905953471483e-11
"ENSG00000136099.13",17.5438736055781,3.7723466184017,0.542115577897363,6.95856524365714,3.43755538105658e-12,1.57279211564196e-11
"ENSG00000279089.1",100.029816741035,1.02965614865817,0.147976286150908,6.95825105117254,3.44522877115803e-12,1.57610223768409e-11
"ENSG00000204581.3",84.3637914367065,-1.33028107480097,0.191183907681104,-6.95812263142924,3.44836994511334e-12,1.57733841028545e-11
"ENSG00000204128.6",244.751162192472,1.91336427993356,0.275013975153621,6.95733472767979,3.4677037953616e-12,1.58598010905477e-11
"ENSG00000249679.2",28.7739154590877,-1.23031927937187,0.176840582871325,-6.95722248476807,3.4704666849498e-12,1.58704172063442e-11
"ENSG00000231952.3",22.455486214664,1.2779196807696,0.18370882296158,6.95622376850598,3.49514559019534e-12,1.59792061401856e-11
"ENSG00000263990.1",20.0275092376413,1.06551688595899,0.153176650910684,6.95613123556462,3.4974408280654e-12,1.59876652611183e-11
"ENSG00000112232.10",122.197759587495,-1.71976877825859,0.247267879246486,-6.95508362630579,3.52352960540916e-12,1.61048745353455e-11
"ENSG00000270467.1",9.12242236826371,2.09701824195343,0.301513053074515,6.95498327707617,3.5260386091176e-12,1.61142924479261e-11
"ENSG00000253842.2",5.02239002164965,2.09518094385084,0.301249761268608,6.9549630015563,3.52654576495117e-12,1.61145605156677e-11
"ENSG00000244310.2",2.33340189605848,2.9916955779382,0.430213094538366,6.95398539913898,3.55108378442238e-12,1.62225607596054e-11
"ENSG00000273951.1",12.9580384854994,1.30347752437504,0.187469111380732,6.95302556658416,3.57533861748432e-12,1.63312886506753e-11
"ENSG00000241358.1",2.76225933524728,2.39725604015912,0.34478198088408,6.95296208349446,3.5769485407122e-12,1.63365655355014e-11
"ENSG00000224358.1",17.923407176973,1.13366218371749,0.163065075806007,6.95220713640839,3.59614847566829e-12,1.64221676068584e-11
"ENSG00000251550.1",2.99108726702401,3.56292156873831,0.512523227248141,6.95172702292632,3.60841132481777e-12,1.64760730589278e-11
"ENSG00000249047.2",3.27164111903034,1.9450056335483,0.279825633900835,6.95077719090446,3.63279243076757e-12,1.65852899666428e-11
"ENSG00000204287.14",79098.0090335597,-1.03948766703512,0.149572373830425,-6.94973035738286,3.65985057592657e-12,1.67026244871784e-11
"ENSG00000171097.14",7.44872322086491,1.42443801169986,0.204979669740963,6.94916726863668,3.67448670335163e-12,1.67655201796903e-11
"ENSG00000226465.3",30.5040745330131,1.35013166680512,0.194286952551226,6.94916281858476,3.67460259991821e-12,1.67655201796903e-11
"ENSG00000241549.8",34.5288238388452,1.01421740381037,0.145993977741436,6.94698109812862,3.73185679611604e-12,1.70181006072407e-11
"ENSG00000287851.1",3.66455390969527,1.77069936088482,0.254936815143847,6.9456400790357,3.76748180006148e-12,1.71740194209857e-11
"ENSG00000005421.9",87.5666465786032,1.69828419834128,0.244531257960229,6.94505975435457,3.78300165482135e-12,1.72425788986085e-11
"ENSG00000288234.1",4.61571605011542,2.54993837365745,0.367170850605997,6.94482791716418,3.78921927676137e-12,1.72687276273511e-11
"ENSG00000234768.1",5.55389301948402,4.31507726277136,0.621381602643719,6.94432735763741,3.80267792946247e-12,1.73256680199831e-11
"ENSG00000145491.12",152.36324045996,-1.83586799933155,0.264384012042249,-6.94394485184744,3.8129940259576e-12,1.73682651309149e-11
"ENSG00000270885.2",148.34375650727,1.46407950686949,0.210847047991825,6.94379893298887,3.81693665117818e-12,1.73840200122743e-11
"ENSG00000204666.3",9.89869155490118,-1.88277670891171,0.27118880037894,-6.9426787031059,3.84733789450245e-12,1.75202598922019e-11
