"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332)","5/23",9.28026450415808e-05,0.00820698173976415,0,0,13.2567750677507,123.08962600568,"SIX4;EGF;MDK;SIX1;SOX9"
"Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)","7/53",0.000106552589208894,0.0090303319354538,0,0,7.28756393861893,66.6584138045269,"CCNA2;CCNB2;CCNB1;CCNE2;CDKN2A;CDC6;CDKN3"
"Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)","10/112",0.000114357596518613,0.00930413405275439,0,0,4.71629145485355,42.8059111554951,"CCNA2;CCNB2;CCNB1;CCNE2;CDKN2A;HMGA2;THY1;CDC6;EZH2;CDKN3"
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)","6/38",0.000121099265053663,0.00947368865842887,0,0,8.96378361858191,80.8434678655871,"CCNA2;CCNB1;MELK;CDK1;FOXM1;AURKA"
"Carbohydrate Biosynthetic Process (GO:0016051)","5/25",0.000141608896387206,0.0106678701945028,0,0,11.9298780487805,105.727846918889,"ST6GALNAC1;FUT8;FUT9;FUT2;FUT3"
"Regulation Of Mitotic Nuclear Division (GO:0007088)","7/56",0.000151983918125211,0.0110405460523814,0,0,6.84033613445378,60.1384283818647,"CCNB1;EGF;CHEK1;RCC1;NEK2;MKI67;AURKA"
"Cell Cycle G2/M Phase Transition (GO:0044839)","6/40",0.000162586908803501,0.0114035093967697,0,0,8.43563929239177,73.5950299592522,"CCNA2;CCNB1;MELK;CDK1;FOXM1;AURKA"
"Proteolysis (GO:0006508)","18/330",0.000200460630045551,0.0135912307170883,0,0,2.80076535555125,23.8482164506343,"ADAMDEC1;ST14;MMP7;MMP1;TMPRSS4;ADAMTS12;TMPRSS11E;MMP9;WFDC2;MMP12;DPP4;NLN;BACE2;ADAM28;CAPN8;PLAU;ADAM12;HABP2"
"Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970)","4/15",0.00020800856771503,0.0136480460236249,0,0,17.3182924131829,146.823293107464,"CDC20;UBE2C;BIRC5;DLGAP5"
"Regulation Of Cytokinesis (GO:0032465)","8/80",0.000252694720807299,0.0159600163416054,0,0,5.32705432705433,44.1257405817314,"PRC1;KIF14;KIF20A;CDC6;ECT2;CIT;AURKA;E2F8"
"Nuclear Chromosome Segregation (GO:0098813)","4/16",0.000272818393398693,0.0159600163416054,0,0,15.8742903487429,130.275605432392,"TOP2A;CENPF;KIF2C;NDC80"
"Cytoskeleton-Dependent Cytokinesis (GO:0061640)","8/81",0.000275391527416236,0.0159600163416054,0,0,5.25381171956514,43.0671587407342,"ANLN;KIF4A;BIRC5;KIF20A;ECT2;CENPA;CEP55;CIT"
